code,name,speakers_m,chars,nbits,ones,zeros,first_bit,last_bit,closes,close_cost
EN,English,380,685,5480,2467,3013,0,0,1,0
ZH,Mandarin,940,36,864,444,420,1,0,0,1
HI,Hindi,345,96,1984,776,1208,1,0,0,1
ES,Espanol,485,117,960,448,512,0,0,1,0
AR,Arabic,360,83,1216,574,642,1,0,0,1
BN,Bengali,240,92,1904,876,1028,1,0,0,1
PT,Portugues,235,771,6352,2958,3394,0,0,1,0
RU,Russkij,150,87,1256,564,692,1,0,0,1
JA,Nihongo,125,41,984,442,542,1,0,0,1
PA,Punjabi,125,104,832,359,473,0,0,1,0
DE,Deutsch,75,132,1080,491,589,0,0,1,0
KO,Hangugeo,80,52,1040,505,535,1,0,0,1
FR,Francais,80,139,1120,509,611,0,0,1,0
TR,Turkce,85,108,936,438,498,1,0,0,1
VI,Tieng Viet,85,114,1224,565,659,0,0,1,0
IT,Italiano,65,131,1048,493,555,0,0,1,0
PL,Polski,40,116,1048,473,575,0,0,1,0
UK,Ukrainska,35,94,1344,586,758,1,0,0,1
NL,Nederlands,24,137,1096,475,621,0,0,1,0
EL,Hellenic,13,110,1752,969,783,1,0,0,1
HE,Hebrew,9,73,1056,587,469,1,0,0,1
LA,Latina,0,118,944,453,491,0,0,1,0
UR,Urdu,70,85,1232,600,632,1,0,0,1
ID,Indonesia,200,160,1280,574,706,0,0,1,0
SW,Kiswahili,90,104,832,381,451,0,0,1,0
TA,Tamil,80,114,2544,1298,1246,1,0,0,1
TE,Telugu,80,92,2000,831,1169,1,0,0,1
TH,Thai,60,101,2376,1050,1326,1,0,0,1
FA,Farsi,80,96,1400,674,726,1,0,0,1
MR,Marathi,83,117,2472,1031,1441,1,0,0,1
JV,Javanese,68,125,1000,472,528,0,0,1,0
GU,Gujarati,57,81,1640,705,935,1,0,0,1
KN,Kannada,45,93,2040,927,1113,1,0,0,1
ML,Malayalam,38,99,2200,1017,1183,1,0,0,1
MY,Burmese,43,110,2496,932,1564,1,1,1,0
HA,Hausa,80,118,944,404,540,0,0,1,0
AM,Amharic,35,73,1528,659,869,1,0,0,1
TL,Filipino,30,159,1272,600,672,0,0,1,0
YUE,Cantonese,85,33,792,406,386,1,0,0,1
NE,Nepali,32,100,2128,870,1258,1,0,0,1
SI,Sinhala,17,87,1832,904,928,1,0,0,1
KM,Khmer,17,82,1920,1043,877,1,0,0,1
YO,Yoruba,45,124,992,432,560,0,0,1,0
IG,Igbo,30,107,1136,537,599,1,0,0,1
UZ,Uzbek,35,144,1152,530,622,0,0,1,0
SU,Sundanese,40,124,992,446,546,0,0,1,0
PS,Pashto,40,92,1304,613,691,1,0,0,1
SD,Sindhi,30,95,1368,650,718,1,0,0,1
OM,Oromo,37,132,1056,479,577,0,0,1,0
ZU,Zulu,28,128,1024,519,505,0,0,1,0
KU,Kurdish,30,138,1104,500,604,0,0,1,0
MG,Malagasy,25,145,1160,535,625,0,0,1,0
SO,Somali,22,130,1040,446,594,0,0,1,0
CEB,Cebuano,20,150,1200,571,629,0,0,1,0
RO,Romana,24,121,1064,493,571,0,0,1,0
HU,Magyar,13,136,1144,549,595,0,0,1,0
CS,Cestina,11,134,1192,572,620,0,0,1,0
AZ,Azerbaycan,24,124,1160,537,623,1,0,0,1
KK,Kazakh,13,107,1584,718,866,1,0,0,1
EL2,Ellinika,13,94,1352,748,604,1,0,0,1
SN,Shona,15,107,856,398,458,0,0,1,0
NY,Chichewa,14,133,1064,500,564,0,0,1,0
RW,Kinyarwanda,13,123,984,470,514,0,0,1,0
TI,Tigrinya,9,133,1064,513,551,0,0,1,0
MN,Mongol,6,79,1136,494,642,1,0,0,1
LO,Lao,30,95,760,336,424,0,0,1,0
OR,Odia,35,93,1960,896,1064,1,0,0,1
AS,Assamese,15,101,2104,946,1158,1,0,0,1
SA,Sanskrit,1,100,2144,908,1236,1,0,0,1
KA,Kartuli,4,109,872,402,470,0,0,1,0
KY,Kyrgyz,5,109,1616,728,888,1,0,0,1
